id,name,emoji,type,ingredients,tags,reason
186,버섯샌드위치,🥪,브런치,,plant|vegetable|western|fresh|quick|light|mild|savory,빵과 재료를 간편하게 먹기 좋은 메뉴예요.
187,버섯구이,🥩,한식,,plant|vegetable|korean|hot|grilled|savory|dining|mild,구운 재료의 풍미를 살려 먹기 좋은 메뉴예요.
188,버섯튀김,🍤,분식,,plant|vegetable|fried|crispy|quick|savory|mild,바삭한 식감이 필요할 때 좋은 메뉴예요.
189,버섯카레,🍛,일식,,plant|vegetable|japanese|hot|rice|rich|hearty|mild|savory,진한 카레 소스와 밥을 함께 먹는 든든한 메뉴예요.
190,두부찌개,🍲,한식,tofu,tofu|plant|korean|hot|soup|stew|rice|mild|light,뜨끈한 국물과 밥으로 든든하게 먹기 좋은 찌개 메뉴예요.
191,두부국밥,🍲,한식,tofu,tofu|plant|korean|hot|soup|rice|hearty|solo|mild|light,따뜻한 국물과 밥을 함께 먹는 든든한 한 그릇이에요.
192,두부덮밥,🍚,한식,tofu,tofu|plant|korean|hot|rice|quick|solo|mild|light,밥 위에 재료를 올려 간편하고 든든하게 먹기 좋아요.
193,두부볶음밥,🍚,중식,tofu,tofu|plant|chinese|hot|rice|savory|quick|mild|light,고슬한 밥과 재료를 볶아 빠르게 먹기 좋은 메뉴예요.
194,두부볶음면,🍜,아시안,tofu,tofu|plant|asian|hot|noodle|grilled|savory|quick|mild|light,국물 없이 볶아낸 면 요리가 당길 때 좋아요.
195,두부국수,🍜,한식,tofu,tofu|plant|korean|noodle|light|quick|mild,면 중심으로 가볍게 먹기 좋은 메뉴예요.
196,두부파스타,🍝,양식,tofu,tofu|plant|western|hot|noodle|savory|mild|light,면 요리 형태로 재료의 맛을 살려 먹기 좋은 메뉴예요.
197,두부샐러드,🥗,샐러드,tofu,tofu|plant|vegetable|fresh|light|quick|mild,신선한 재료를 중심으로 가볍게 먹기 좋아요.
198,두부샌드위치,🥪,브런치,tofu,tofu|plant|western|fresh|quick|light|mild,빵과 재료를 간편하게 먹기 좋은 메뉴예요.
199,두부구이,🥩,한식,tofu,tofu|plant|korean|hot|grilled|savory|dining|mild|light,구운 재료의 풍미를 살려 먹기 좋은 메뉴예요.
200,두부튀김,🍤,분식,tofu,tofu|plant|fried|crispy|quick|savory|mild|light,바삭한 식감이 필요할 때 좋은 메뉴예요.
201,두부카레,🍛,일식,tofu,tofu|plant|japanese|hot|rice|rich|hearty|mild|light,진한 카레 소스와 밥을 함께 먹는 든든한 메뉴예요.
202,계란찌개,🍲,한식,egg,egg|korean|hot|soup|stew|rice,뜨끈한 국물과 밥으로 든든하게 먹기 좋은 찌개 메뉴예요.
203,계란국밥,🍲,한식,egg,egg|korean|hot|soup|rice|hearty|solo,따뜻한 국물과 밥을 함께 먹는 든든한 한 그릇이에요.
204,계란덮밥,🍚,한식,egg,egg|korean|hot|rice|quick|solo,밥 위에 재료를 올려 간편하고 든든하게 먹기 좋아요.
205,계란볶음밥,🍚,중식,egg,egg|chinese|hot|rice|savory|quick,고슬한 밥과 재료를 볶아 빠르게 먹기 좋은 메뉴예요.
206,계란볶음면,🍜,아시안,egg,egg|asian|hot|noodle|grilled|savory|quick,국물 없이 볶아낸 면 요리가 당길 때 좋아요.
207,계란국수,🍜,한식,egg,egg|korean|noodle|light|quick,면 중심으로 가볍게 먹기 좋은 메뉴예요.
208,계란파스타,🍝,양식,egg,egg|western|hot|noodle|savory,면 요리 형태로 재료의 맛을 살려 먹기 좋은 메뉴예요.
209,계란샐러드,🥗,샐러드,egg,egg|vegetable|fresh|light|quick,신선한 재료를 중심으로 가볍게 먹기 좋아요.
210,계란샌드위치,🥪,브런치,egg,egg|western|fresh|quick|light,빵과 재료를 간편하게 먹기 좋은 메뉴예요.
211,계란구이,🥩,한식,egg,egg|korean|hot|grilled|savory|dining,구운 재료의 풍미를 살려 먹기 좋은 메뉴예요.
212,계란튀김,🍤,분식,egg,egg|fried|crispy|quick|savory,바삭한 식감이 필요할 때 좋은 메뉴예요.
213,계란카레,🍛,일식,egg,egg|japanese|hot|rice|rich|hearty,진한 카레 소스와 밥을 함께 먹는 든든한 메뉴예요.
214,치즈찌개,🍲,한식,dairy,dairy|cheesy|korean|hot|soup|stew|rice|creamy,뜨끈한 국물과 밥으로 든든하게 먹기 좋은 찌개 메뉴예요.
215,치즈국밥,🍲,한식,dairy,dairy|cheesy|korean|hot|soup|rice|hearty|solo|creamy,따뜻한 국물과 밥을 함께 먹는 든든한 한 그릇이에요.
216,치즈덮밥,🍚,한식,dairy,dairy|cheesy|korean|hot|rice|quick|solo|creamy,밥 위에 재료를 올려 간편하고 든든하게 먹기 좋아요.
217,치즈볶음밥,🍚,중식,dairy,dairy|cheesy|chinese|hot|rice|savory|quick|creamy,고슬한 밥과 재료를 볶아 빠르게 먹기 좋은 메뉴예요.
218,치즈볶음면,🍜,아시안,dairy,dairy|cheesy|asian|hot|noodle|grilled|savory|quick|creamy,국물 없이 볶아낸 면 요리가 당길 때 좋아요.
219,치즈국수,🍜,한식,dairy,dairy|cheesy|korean|noodle|light|quick|creamy,면 중심으로 가볍게 먹기 좋은 메뉴예요.
220,치즈파스타,🍝,양식,dairy,dairy|cheesy|western|hot|noodle|savory|creamy,면 요리 형태로 재료의 맛을 살려 먹기 좋은 메뉴예요.
221,치즈샐러드,🥗,샐러드,dairy,dairy|cheesy|vegetable|fresh|light|quick|creamy,신선한 재료를 중심으로 가볍게 먹기 좋아요.
222,치즈샌드위치,🥪,브런치,dairy,dairy|cheesy|western|fresh|quick|light|creamy,빵과 재료를 간편하게 먹기 좋은 메뉴예요.
223,치즈구이,🥩,한식,dairy,dairy|cheesy|korean|hot|grilled|savory|dining|creamy,구운 재료의 풍미를 살려 먹기 좋은 메뉴예요.
224,치즈튀김,🍤,분식,dairy,dairy|cheesy|fried|crispy|quick|savory|creamy,바삭한 식감이 필요할 때 좋은 메뉴예요.
225,치즈카레,🍛,일식,dairy,dairy|cheesy|japanese|hot|rice|rich|hearty|creamy,진한 카레 소스와 밥을 함께 먹는 든든한 메뉴예요.
226,김치국밥,🍲,한식,,plant|vegetable|korean|hot|soup|rice|hearty|solo|spicy|savory,따뜻한 국물과 밥을 함께 먹는 든든한 한 그릇이에요.
227,김치덮밥,🍚,한식,,plant|vegetable|korean|hot|rice|quick|solo|spicy|savory,밥 위에 재료를 올려 간편하고 든든하게 먹기 좋아요.
228,김치볶음면,🍜,아시안,,plant|vegetable|asian|hot|noodle|grilled|savory|quick|spicy,국물 없이 볶아낸 면 요리가 당길 때 좋아요.
229,김치국수,🍜,한식,,plant|vegetable|korean|noodle|light|quick|spicy|savory,면 중심으로 가볍게 먹기 좋은 메뉴예요.
230,김치파스타,🍝,양식,,plant|vegetable|western|hot|noodle|savory|spicy,면 요리 형태로 재료의 맛을 살려 먹기 좋은 메뉴예요.
231,김치샐러드,🥗,샐러드,,plant|vegetable|fresh|light|quick|spicy|savory,신선한 재료를 중심으로 가볍게 먹기 좋아요.
232,김치샌드위치,🥪,브런치,,plant|vegetable|western|fresh|quick|light|spicy|savory,빵과 재료를 간편하게 먹기 좋은 메뉴예요.
233,김치구이,🥩,한식,,plant|vegetable|korean|hot|grilled|savory|dining|spicy,구운 재료의 풍미를 살려 먹기 좋은 메뉴예요.
234,김치튀김,🍤,분식,,plant|vegetable|fried|crispy|quick|savory|spicy,바삭한 식감이 필요할 때 좋은 메뉴예요.
235,김치카레,🍛,일식,,plant|vegetable|japanese|hot|rice|rich|hearty|spicy|savory,진한 카레 소스와 밥을 함께 먹는 든든한 메뉴예요.
236,가지찌개,🍲,한식,,plant|vegetable|korean|hot|soup|stew|rice,뜨끈한 국물과 밥으로 든든하게 먹기 좋은 찌개 메뉴예요.
237,가지국밥,🍲,한식,,plant|vegetable|korean|hot|soup|rice|hearty|solo,따뜻한 국물과 밥을 함께 먹는 든든한 한 그릇이에요.
238,가지덮밥,🍚,한식,,plant|vegetable|korean|hot|rice|quick|solo,밥 위에 재료를 올려 간편하고 든든하게 먹기 좋아요.
239,가지볶음밥,🍚,중식,,plant|vegetable|chinese|hot|rice|savory|quick,고슬한 밥과 재료를 볶아 빠르게 먹기 좋은 메뉴예요.
240,가지볶음면,🍜,아시안,,plant|vegetable|asian|hot|noodle|grilled|savory|quick,국물 없이 볶아낸 면 요리가 당길 때 좋아요.
241,가지국수,🍜,한식,,plant|vegetable|korean|noodle|light|quick,면 중심으로 가볍게 먹기 좋은 메뉴예요.
242,가지파스타,🍝,양식,,plant|vegetable|western|hot|noodle|savory,면 요리 형태로 재료의 맛을 살려 먹기 좋은 메뉴예요.
243,가지샐러드,🥗,샐러드,,plant|vegetable|fresh|light|quick,신선한 재료를 중심으로 가볍게 먹기 좋아요.
244,가지샌드위치,🥪,브런치,,plant|vegetable|western|fresh|quick|light,빵과 재료를 간편하게 먹기 좋은 메뉴예요.
245,가지구이,🥩,한식,,plant|vegetable|korean|hot|grilled|savory|dining,구운 재료의 풍미를 살려 먹기 좋은 메뉴예요.
246,가지튀김,🍤,분식,,plant|vegetable|fried|crispy|quick|savory,바삭한 식감이 필요할 때 좋은 메뉴예요.
247,가지카레,🍛,일식,,plant|vegetable|japanese|hot|rice|rich|hearty,진한 카레 소스와 밥을 함께 먹는 든든한 메뉴예요.
248,아보카도찌개,🍲,한식,,plant|vegetable|korean|hot|soup|stew|rice|fresh|creamy,뜨끈한 국물과 밥으로 든든하게 먹기 좋은 찌개 메뉴예요.
249,아보카도국밥,🍲,한식,,plant|vegetable|korean|hot|soup|rice|hearty|solo|fresh|creamy,따뜻한 국물과 밥을 함께 먹는 든든한 한 그릇이에요.
250,아보카도덮밥,🍚,한식,,plant|vegetable|korean|hot|rice|quick|solo|fresh|creamy,밥 위에 재료를 올려 간편하고 든든하게 먹기 좋아요.
251,아보카도볶음밥,🍚,중식,,plant|vegetable|chinese|hot|rice|savory|quick|fresh|creamy,고슬한 밥과 재료를 볶아 빠르게 먹기 좋은 메뉴예요.
252,아보카도볶음면,🍜,아시안,,plant|vegetable|asian|hot|noodle|grilled|savory|quick|fresh|creamy,국물 없이 볶아낸 면 요리가 당길 때 좋아요.
253,아보카도국수,🍜,한식,,plant|vegetable|korean|noodle|light|quick|fresh|creamy,면 중심으로 가볍게 먹기 좋은 메뉴예요.
254,아보카도파스타,🍝,양식,,plant|vegetable|western|hot|noodle|savory|fresh|creamy,면 요리 형태로 재료의 맛을 살려 먹기 좋은 메뉴예요.
255,아보카도샐러드,🥗,샐러드,,plant|vegetable|fresh|light|quick|creamy,신선한 재료를 중심으로 가볍게 먹기 좋아요.
256,아보카도샌드위치,🥪,브런치,,plant|vegetable|western|fresh|quick|light|creamy,빵과 재료를 간편하게 먹기 좋은 메뉴예요.
257,아보카도구이,🥩,한식,,plant|vegetable|korean|hot|grilled|savory|dining|fresh|creamy,구운 재료의 풍미를 살려 먹기 좋은 메뉴예요.
258,아보카도튀김,🍤,분식,,plant|vegetable|fried|crispy|quick|savory|fresh|creamy,바삭한 식감이 필요할 때 좋은 메뉴예요.
259,아보카도카레,🍛,일식,,plant|vegetable|japanese|hot|rice|rich|hearty|fresh|creamy,진한 카레 소스와 밥을 함께 먹는 든든한 메뉴예요.
260,불고기찌개,🍲,한식,beef,beef|meat|korean|hot|soup|stew|rice|sweet|savory,뜨끈한 국물과 밥으로 든든하게 먹기 좋은 찌개 메뉴예요.
261,불고기국밥,🍲,한식,beef,beef|meat|korean|hot|soup|rice|hearty|solo|sweet|savory,따뜻한 국물과 밥을 함께 먹는 든든한 한 그릇이에요.
262,불고기볶음밥,🍚,중식,beef,beef|meat|chinese|hot|rice|savory|quick|sweet,고슬한 밥과 재료를 볶아 빠르게 먹기 좋은 메뉴예요.
263,불고기볶음면,🍜,아시안,beef,beef|meat|asian|hot|noodle|grilled|savory|quick|sweet,국물 없이 볶아낸 면 요리가 당길 때 좋아요.
264,불고기국수,🍜,한식,beef,beef|meat|korean|noodle|light|quick|sweet|savory,면 중심으로 가볍게 먹기 좋은 메뉴예요.
265,불고기파스타,🍝,양식,beef,beef|meat|western|hot|noodle|savory|sweet,면 요리 형태로 재료의 맛을 살려 먹기 좋은 메뉴예요.
266,불고기샐러드,🥗,샐러드,beef,beef|meat|vegetable|fresh|light|quick|sweet|savory,신선한 재료를 중심으로 가볍게 먹기 좋아요.
267,불고기샌드위치,🥪,브런치,beef,beef|meat|western|fresh|quick|light|sweet|savory,빵과 재료를 간편하게 먹기 좋은 메뉴예요.
268,불고기구이,🥩,한식,beef,beef|meat|korean|hot|grilled|savory|dining|sweet,구운 재료의 풍미를 살려 먹기 좋은 메뉴예요.
269,불고기튀김,🍤,분식,beef,beef|meat|fried|crispy|quick|savory|sweet,바삭한 식감이 필요할 때 좋은 메뉴예요.
270,불고기카레,🍛,일식,beef,beef|meat|japanese|hot|rice|rich|hearty|sweet|savory,진한 카레 소스와 밥을 함께 먹는 든든한 메뉴예요.
271,매운돼지찌개,🍲,한식,pork,pork|meat|korean|hot|soup|stew|rice|spicy|hearty,뜨끈한 국물과 밥으로 든든하게 먹기 좋은 찌개 메뉴예요.
272,매운돼지국밥,🍲,한식,pork,pork|meat|korean|hot|soup|rice|hearty|solo|spicy,따뜻한 국물과 밥을 함께 먹는 든든한 한 그릇이에요.
273,매운돼지덮밥,🍚,한식,pork,pork|meat|korean|hot|rice|quick|solo|spicy|hearty,밥 위에 재료를 올려 간편하고 든든하게 먹기 좋아요.
274,매운돼지볶음밥,🍚,중식,pork,pork|meat|chinese|hot|rice|savory|quick|spicy|hearty,고슬한 밥과 재료를 볶아 빠르게 먹기 좋은 메뉴예요.
275,매운돼지볶음면,🍜,아시안,pork,pork|meat|asian|hot|noodle|grilled|savory|quick|spicy|hearty,국물 없이 볶아낸 면 요리가 당길 때 좋아요.
276,매운돼지국수,🍜,한식,pork,pork|meat|korean|noodle|light|quick|spicy|hearty,면 중심으로 가볍게 먹기 좋은 메뉴예요.
277,매운돼지파스타,🍝,양식,pork,pork|meat|western|hot|noodle|savory|spicy|hearty,면 요리 형태로 재료의 맛을 살려 먹기 좋은 메뉴예요.
278,매운돼지샐러드,🥗,샐러드,pork,pork|meat|vegetable|fresh|light|quick|spicy|hearty,신선한 재료를 중심으로 가볍게 먹기 좋아요.
279,매운돼지샌드위치,🥪,브런치,pork,pork|meat|western|fresh|quick|light|spicy|hearty,빵과 재료를 간편하게 먹기 좋은 메뉴예요.
280,매운돼지구이,🥩,한식,pork,pork|meat|korean|hot|grilled|savory|dining|spicy|hearty,구운 재료의 풍미를 살려 먹기 좋은 메뉴예요.
281,매운돼지튀김,🍤,분식,pork,pork|meat|fried|crispy|quick|savory|spicy|hearty,바삭한 식감이 필요할 때 좋은 메뉴예요.
282,매운돼지카레,🍛,일식,pork,pork|meat|japanese|hot|rice|rich|hearty|spicy,진한 카레 소스와 밥을 함께 먹는 든든한 메뉴예요.
283,차돌찌개,🍲,한식,beef,beef|meat|korean|hot|soup|stew|rice,뜨끈한 국물과 밥으로 든든하게 먹기 좋은 찌개 메뉴예요.
284,차돌국밥,🍲,한식,beef,beef|meat|korean|hot|soup|rice|hearty|solo,따뜻한 국물과 밥을 함께 먹는 든든한 한 그릇이에요.
285,차돌덮밥,🍚,한식,beef,beef|meat|korean|hot|rice|quick|solo,밥 위에 재료를 올려 간편하고 든든하게 먹기 좋아요.
286,차돌볶음밥,🍚,중식,beef,beef|meat|chinese|hot|rice|savory|quick,고슬한 밥과 재료를 볶아 빠르게 먹기 좋은 메뉴예요.
287,차돌볶음면,🍜,아시안,beef,beef|meat|asian|hot|noodle|grilled|savory|quick,국물 없이 볶아낸 면 요리가 당길 때 좋아요.
288,차돌국수,🍜,한식,beef,beef|meat|korean|noodle|light|quick,면 중심으로 가볍게 먹기 좋은 메뉴예요.
289,차돌파스타,🍝,양식,beef,beef|meat|western|hot|noodle|savory,면 요리 형태로 재료의 맛을 살려 먹기 좋은 메뉴예요.
290,차돌샐러드,🥗,샐러드,beef,beef|meat|vegetable|fresh|light|quick,신선한 재료를 중심으로 가볍게 먹기 좋아요.
291,차돌샌드위치,🥪,브런치,beef,beef|meat|western|fresh|quick|light,빵과 재료를 간편하게 먹기 좋은 메뉴예요.
292,차돌구이,🥩,한식,beef,beef|meat|korean|hot|grilled|savory|dining,구운 재료의 풍미를 살려 먹기 좋은 메뉴예요.
293,차돌튀김,🍤,분식,beef,beef|meat|fried|crispy|quick|savory,바삭한 식감이 필요할 때 좋은 메뉴예요.
294,차돌카레,🍛,일식,beef,beef|meat|japanese|hot|rice|rich|hearty,진한 카레 소스와 밥을 함께 먹는 든든한 메뉴예요.
295,닭가슴살찌개,🍲,한식,chicken,chicken|meat|korean|hot|soup|stew|rice,뜨끈한 국물과 밥으로 든든하게 먹기 좋은 찌개 메뉴예요.
296,닭가슴살국밥,🍲,한식,chicken,chicken|meat|korean|hot|soup|rice|hearty|solo,따뜻한 국물과 밥을 함께 먹는 든든한 한 그릇이에요.
297,닭가슴살덮밥,🍚,한식,chicken,chicken|meat|korean|hot|rice|quick|solo,밥 위에 재료를 올려 간편하고 든든하게 먹기 좋아요.
298,닭가슴살볶음밥,🍚,중식,chicken,chicken|meat|chinese|hot|rice|savory|quick,고슬한 밥과 재료를 볶아 빠르게 먹기 좋은 메뉴예요.
299,닭가슴살볶음면,🍜,아시안,chicken,chicken|meat|asian|hot|noodle|grilled|savory|quick,국물 없이 볶아낸 면 요리가 당길 때 좋아요.
300,닭가슴살국수,🍜,한식,chicken,chicken|meat|korean|noodle|light|quick,면 중심으로 가볍게 먹기 좋은 메뉴예요.
